name,description,review_text,review_rating,genre,keywords,datePublished,director,actor,creator
Dawson City: Frozen Time,,,10,"['Documentary', 'History']","['film history', 'newsreel', 'found footage', 'glass plate negative', 'archival photograph']",2017-03-20,['Bill Morrison'],"['Michael Gates', 'Kathy Jones-Gates', 'Roscoe &apos;Fatty&apos; Arbuckle']",['Bill Morrison']
The Day After Tomorrow,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.","The Day After Tomorrow is not a bad movie by all means. In fact, it&apos;s an uneven but decent film. The film does start off absolutely brilliantly, with a wonderful idea for a story and truly spectacular special effects. As a matter of fact, the whole film is well worth watching for the special effects alone. The acting is not too bad; Jake Gyllanhaal is rather bland, but Dennis Quaid is a superb lead. Plus Emmy Rosum looks positively radiant and Ian Holm is as reliable as ever. The direction from Roland Emmerich was surprisingly good, there have been times when I have found his direction too murky and unfocused, but no it was above decent here.

However, the second half isn&apos;t as impressive. Whereas the first half is very like a typical disaster movie, the second half for me as it focused on the rescue mission felt more of a thriller. The screenplay in general could have done with more precision and focus too, there is good interplay sometimes but on the whole I found the screenplay and some of the characters underdeveloped. My main problem though with The Day After Tomorrow was the pace, for my liking it was too leisurely and too stodgy.

All in all, uneven it is but it is a decent disaster movie. The first half I can watch again and again, but the second half for me was a bit of a letdown. 7/10 Bethany Cox",7,"['Action', 'Adventure', 'Sci-Fi']","['global warming', 'end of the world', 'climate crisis', 'climate', 'weather']",2004-05-28,['Roland Emmerich'],"['Dennis Quaid', 'Jake Gyllenhaal', 'Emmy Rossum']","['Roland Emmerich', 'Jeffrey Nachmanoff']"
La nuit américaine,,,10,"['Comedy', 'Drama', 'Romance']","['film within a film', 'film industry', 'film crew', 'behind the scenes', 'filmmaking']",1973-09-07,['François Truffaut'],"['Jacqueline Bisset', 'Jean-Pierre Léaud', 'François Truffaut']","['François Truffaut', 'Jean-Louis Richard', 'Suzanne Schiffman']"
Day of the Animals,A battle for survival ensues after a group of hikers encounters a chemically imbalanced forest.,"This movie is so bad it&apos;s hilarious. Leslie Neilsen plays a guy who&apos;s so annoying and obnoxious that it&apos;s hard to believe it&apos;s meant to be a serious role. His hilarious performance is worth renting the movie. There&apos;s a lot of great one-liners from his character. Christopher George is his usual no-nonsense macho self, Andrew Stevens is great, there&apos;s a lot of pretty women, and Ruth Roman is great in the Shelley Winters role of the increasingly hysterical mom. A very seventies-type movie, and very funny. I loved the nature theme, and there&apos;s a lot of great action scenes. I love the rats who come flying at the sheriff for no apparent reason. Highly Recommended!",,"['Horror', 'Sci-Fi', 'Thriller']","['creature feature', 'animal attack', 'attempted rape', 'egotist', 'survival']",1977-05-13,['William Girdler'],"['Christopher George', 'Leslie Nielsen', 'Lynda Day George']","['William W. Norton', 'Eleanor E. Norton', 'Edward L. Montoro']"
Day of the Dead,,,8,"['Horror', 'Thriller']","['bully', 'bully comeuppance', 'questioning authority', 'scientist', 'military']",1985-07-19,['George A. Romero'],"['Lori Cardille', 'Terry Alexander', 'Joseph Pilato']",['George A. Romero']
Day of the Panther,"A martial-arts expert goes after a criminal gang and its boss, who were responsible for the death of his partner.","So what does a hot blond (Linda Megier) do when a pig is harassing you? Well, if you are a martial arts master, you take him out, especially if he is just some scumbag in a pig mask. This kinds of humorous things make this Australian chop sockey movie bearable.

Blade (Edward John Stazak) is trying to find out who killed his partner and break up a drug operation. He is using his considerable skills to provide several entertaining bouts against multiple bad guys. Two bumbling cops are tailing him and providing more humor.

Now, it is time for more humor as Blade works out while Paris Jefferson dances around the gym. Soon they are dancing under the sheets.

Blade manages to take out another group using a broom handle. Ouch, that has to hurt.

Of course, you have to have the final battle between Blade and the drug lord&apos;s (Michael Carman) henchman (Jim Richards).

There will be a part 2 (IT was filmed at the same time.).",5,['Action'],"['cult', 'ozploitation', 'female nudity', 'death', 'partner']",1989-03-11,['Brian Trenchard-Smith'],"['Edward John Stazak', 'John Stanton', 'James Richards']","['Peter West', 'David Groom', 'Brian Trenchard-Smith']"
Vredens dag,,,9,"['Drama', 'History']","['witch burning', 'witch hunt', 'torture chamber', 'torment', 'sex']",1948-04-24,['Carl Theodor Dreyer'],"['Thorkild Roose', 'Lisbeth Movin', 'Sigrid Neiiendam']","['Carl Theodor Dreyer', 'Poul Knudsen', 'Paul La Cour']"
La morte viene dallo spazio,,,5,['Sci-Fi'],"['mass panic', 'tsunami', 'radar screen', 'international cooperation', 'asteroid']",1961-09-27,"['Paolo Heusch', 'Mario Bava']","['Paul Hubschmid', 'Madeleine Fischer', 'Fiorella Mari']","['Virgilio Sabel', 'Marcello Coscia', 'Sandro Continenza']"
Daybreakers,,,7,"['Action', 'Horror', 'Sci-Fi']","['dystopian future', 'vampire', 'blood', 'food shortage', 'bitten by a vampire']",2010-01-08,"['Michael Spierig', 'Peter Spierig']","['Ethan Hawke', 'Willem Dafoe', 'Sam Neill']","['Michael Spierig', 'Peter Spierig']"
Days of Heaven,,,10,"['Drama', 'Romance']","['farm', 'train', 'wealth', 'farm worker', 'seasonal work']",1978-10-06,['Terrence Malick'],"['Richard Gere', 'Brooke Adams', 'Sam Shepard']",['Terrence Malick']
Dead Ringers,,,10,"['Drama', 'Horror', 'Thriller']","['identical twins', 'gynecologist', 'drug addiction', 'twin brothers', 'insanity']",1988-09-23,['David Cronenberg'],"['Jeremy Irons', 'Geneviève Bujold', 'Heidi von Palleske']","['David Cronenberg', 'Norman Snider', 'Bari Wood']"
Braindead,"A young man&apos;s mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors.","I think it&apos;s called the sweet spot, that place when everything comes together at the right moment: the build up has been great, the levels on all the gauges are optimised, you have all the ingredients, the recipe for success has been perfected and then you unleash the beast, and what a butcher of a beast you unleash!

If you dig too deep for the secrets or contrast it with today you&apos;ll end up burying yourself however, do be mindful and in awe of the immense crafts these artisans had developed in the early 90s and, above all, revel in the way those talents were recombined to produce a true work of ground breaking genius that will keep those fascinated by such majesty capitated, bowled and limbed for as long as is inhumanly possible.",8,"['Comedy', 'Fantasy', 'Horror']","['dark comedy', 'zombie', 'zombie attack', 'sex with a zombie', 'living dead']",1993-02-12,['Peter Jackson'],"['Timothy Balme', 'Diana Peñalver', 'Elizabeth Moody']","['Stephen Sinclair', 'Fran Walsh', 'Peter Jackson']"
Dead Calm,"After a tragedy, John Ingram and his wife Rae are spending some time isolated at sea, when they come across a stranger who has abandoned a sinking ship.","Dead Calm is one of those rare thrillers with good acting, suspense and great setting. The ocean setting really makes this film, as well as the 2 boats. Kidman is a realistic and resourceful character and because the film had only 3 main characters throughout the whole movie, you go through the same emotions the actors do in the film. The ending seemed tacked on, but because the whole film is so good, the ending doesn&apos;t hurt nor help the film. Well paced, acted and overall great movie. 9/10",8,"['Horror', 'Thriller']","['maniac', 'female nudity', 'psychological thriller', 'sea', 'sailboat']",1989-04-07,['Phillip Noyce'],"['Nicole Kidman', 'Sam Neill', 'Billy Zane']","['Terry Hayes', 'Charles Williams']"
Dead End,"Christmas Eve. On his way to his in-laws with his family, Frank Harrington decides to try a shortcut, for the first time in 20 years. It turns out to be the biggest mistake of his life.","i don&apos;t know what it was about this movie but it scared the living crap out of me. i was thinking about it for weeks. it&apos;s weird because this movie has NO GORE and it NEVER SHOWS you anything really abnormal. just small stuff like abandoned baby carriages in the middle of the road. you don&apos;t even get to see any dead bodies. but you do see the expression of the people that find the bodies. so if you have a kick ass imagination, watch this movie. i think it&apos;s your own imagination and not anything from the movie that will really scare you. but if you&apos;d rather turn your brain off and let the movie do the work for you, don&apos;t bother with this one.",8,"['Adventure', 'Horror', 'Mystery']","['christmas eve', 'black comedy', 'christmas', 'forest', 'woods']",2003-09-26,"['Jean-Baptiste Andrea', 'Fabrice Canepa']","['Ray Wise', 'Lin Shaye', 'Mick Cain']","['Jean-Baptiste Andrea', 'Fabrice Canepa']"
Dead End Drive-In,,,7,"['Action', 'Drama', 'Horror']","['cricket bat', 'the future', 'concentration camp', 'drive in theater', 'interrupted sex']",1986-08-22,['Brian Trenchard-Smith'],"['Ned Manning', 'Natalie McCurry', 'Peter Whitford']","['Peter Smalley', 'Peter Carey']"
The Dead Hate the Living!,,,5,"['Horror', 'Comedy']","['decapitation', 'film director', 'film set', 'female nudity', 'violence']",2000-07-26,['Dave Parker'],"['Eric Clawson', 'Jamie Donahue', 'Brett Beardslee']","['Dave Parker', 'Paul Salamoff']"
Dead Hooker in a Trunk,,,6,['Horror'],"['murdered during sex', 'woman murders a man', 'dead woman', 'sleeping in a bathtub', 'fully clothed sex']",2011-08-03,"['Jen Soska', 'Sylvia Soska']","['Rikki Gagne', 'Jen Soska', 'Sylvia Soska']","['Jen Soska', 'Sylvia Soska']"
The Dead Don&apos;t Die,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,"All the ingredients to produce a masterpiece are present: 1) A director I love, Jim Jarmusch, due to the excellent Paterson (2016) and Broken Flowers (2005). 2) A to-die-for cast, with Bill Murray in particular. 3) A sens of humor that regularly flirts with the absurd, including wacky and irreverent dialogues like « a black coffee please, but not too black » for instance. 4) The mesmerizing voice of Tom Waits. 5) A slight criticism of our society, especially the progressive global warming because of a strong procrastination with regard to the respect of our environment, and, albeit to a lesser extent, consumerism. 6) Zombies! I may confess that I have a crush on zombies. 7) ...

So, all the ingredients are lumped together but, it&apos;s quite strange and even weird, the recipe is rather unsuccessful: the atmosphere is sometimes cutesy or even insipid, the characters are usually devoid of enthusiasm and quite often apathetic, and the final scene rhymes with bitterness and bewilderment.

Although the film is not completely lousy thanks to a few successful scenes, I was globally bored and disappointed. In my humble opinion, this movie is a non-event and, as an echo with itself, should be buried alive, from now on until the end of the world. And even longer!",5,"['Comedy', 'Fantasy', 'Horror']","['zombie', 'police officer', 'undead', 'zombie attack', 'zombie apocalypse']",2019-06-14,['Jim Jarmusch'],"['Bill Murray', 'Adam Driver', 'Tilda Swinton']",['Jim Jarmusch']
The Dead Lands,"After his tribe is slaughtered through an act of treachery, the teenage son of a slain Maori chieftain looks to avenge his father&apos;s murder and bring peace and honor to the souls of his loved ones.","Pre European Maori built their culture on slavery, cannibalism, genocide and violence while living in the constant fear of war with each others iwi.

This film doesn&apos;t hide these facts and is the closest thing to the honest past released from New Zealand.

Many previous films portray Maori as victims of white people when white sailors were often killed and eaten too.

I applaud that finally there&apos;s near correct depiction and well worth watching twice.

Rollestons performance as hongi opened many doors for the lad, sadly his career was shortened somewhat by a automobile accident later in his life.

The excellent casting of many unknown actors gives this New Zealand film a refreshing look by avoiding the many over used talent in the small country.",7,"['Action', 'Adventure']","['severed head', 'cannibalism', 'martial arts', 'murder', 'hallucinogenic mushroom']",2014-10-30,['Toa Fraser'],"['James Rolleston', 'Lawrence Makoare', 'Te Kohe Tuhaka']",['Glenn Standring']
Dead Man,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.","What a movie!... didn&apos;t want to see it at first.. But, then, when it begins, you take the trip with Blake to the big sea.

So beatiful pictures, such poetry in every single one of them. Hypnotic black and white scenes, still and vast nature, music that takes you down the other side.

It&apos;s the unconsious trip of one man to death, slowly descending to another level, deeper into nature. Or is he already dead and is not aware of it? Rivers, trees, animals and spirits to guide him along the way. This is a trip to self-knowledge, a hallucinational, sweet and slow resignation from needs and senses.

Amazing directing, incredible photography and an also amazing Johnny Depp, sunk in his own visions and thoughts, excellent in his portrayal of a man&apos;s abdication to parrallel levels of consiousness.

Thank god there is the indie american film making, that we see such beatiful movies.",9,"['Adventure', 'Drama', 'Fantasy']","['revisionist western', '1870s', 'native american', 'neo noir', 'wanted poster']",1996-05-10,['Jim Jarmusch'],"['Johnny Depp', 'Gary Farmer', 'Crispin Glover']",['Jim Jarmusch']
Dead Men Don&apos;t Wear Plaid,Film noir parody with a detective uncovering a sinister plot. Characters from real noirs appear as scenes from various films are intercut.,"An incredible achievement. My mind boggles at the amount of thought, time and effort that must have gone into this superb film. The plot is brilliantly and hilariously convoluted, with screen legends from the 1940s making appearances in amazingly edited scenes, and Steve Martin&apos;s trademark absurd humour is present almost all the way. Steve and Rachel Ward have remarkable chemistry, and each of their performances are highly impressive. If it weren&apos;t for the bundles of humour employed, one would almost think at times that this actually is a film noir from the 1940s, so legitimate and believable is the &apos;feel&apos; or the atmosphere of the film.

I cannot believe that some people who commented on this film have said that the plot is merely an excuse to hang old movie clips onto, and not much use at all; and the person who claims that Steve Martin overacts in this movie mustn&apos;t realise that this is regarded as one of Steve&apos;s more restrained, deadpan comedic performances (the &apos;cleaning woman!&apos; device turns out to be an important part of the plot and also seems to be a way of using the strangling scene that is taken from the Bette Davis movie - it is also a chance for Steve to get in a very tiny element of his &apos;wild and crazy guy&apos; persona, which he substituted with a more suitable [for parody] &apos;straight&apos; performance).

A rousing and side-splittingly funny success - they don&apos;t make &apos;em like this anymore!",10,"['Comedy', 'Crime', 'Mystery']","['film noir spoof', 'revolver', 'prison', 'jail', 'conspiracy']",1982-05-21,['Carl Reiner'],"['Steve Martin', 'Rachel Ward', 'Alan Ladd']","['Carl Reiner', 'George Gipe', 'Steve Martin']"
Dead Men Walk,"The twin of a kindly small-town physician returns from the grave for vengeance against his brother, who secretly killed him because the twin served Satan.","I am a big fan of movies made in the 30&apos;s and 40&apos;s and as such I didn&apos;t find this film too bad. 

This film cash&apos;s in on a very popular theme of the time, Zucco plays both the Vampire (Elwyn) and the likable Doctor (his brother). The contrast between Zucco&apos;s portrayal of the two characters is pretty good and is not really worthy of the bad acting classification given by the previous commentary.

Granted, it&apos;s slow and we have seen the plot a thousand times but if you are a fan you won&apos;t be too judgemental. You could see a lot worse. Give it a try.",7,"['Drama', 'Horror']","['evil magician', 'death of brother', 'grave digging', 'arson', 'small town']",1943-04-12,['Sam Newfield'],"['George Zucco', 'Mary Carlisle', 'Nedrick Young']",['Fred Myton']
The Dead Next Door,,,6,['Horror'],"['the white house washington d.c.', 'cult film', 'super 8', 'zombie', 'virus']",,['J.R. Bookwalter'],"['Pete Ferry', 'Bogdan Pecic', 'Michael Grossi']",['J.R. Bookwalter']
The Dead Ones,"While serving detention for a horrific incident, four students are locked in a school and hunted by a gang dressed as the Four Horsemen of the Apocalypse. While fighting to survive, each student must confront past traumas.","This low budget presumably indie horror is interesting and it definitely does something a little different. The idea is not new to the horror genre but the setting and main situation driving the narrative is different. The biggest issue is that they give away too much of the twist early on so that the big reveal is not a revelation at all but just a well duh moment. The acting is mixed and the female lead who plays Mouse is the strongest of the four. The special effects rely too much on CGI which seems take away from the creepiness, what ever happened to good old low budget horrors using practical effects? The jump scares full flat due to this lack of tension and creepiness. Not a high recommendation but maybe check it out if you like to watch a lot of low budge horror.",5,"['Horror', 'Mystery']","['psychotronic film', 'bare chested male', 'male underwear', 'briefs', 'white briefs']",2020-09-18,['Jeremy Kasten'],"['Sarah Harper', 'Brandon Thane Wilson', 'Katie Foster']",['Zach Chassler']
The Dead Room,"When a terrified family flees a desolate southern New Zealand farmhouse, two cynical scientists and a young psychic are sent to investigate their claims of a haunting. There they encounter a powerful spirit that will protect the h...","It&apos;s rare to come across a horror movie that takes itself and its characters seriously. More often than not, it seems horror producers take it for granted that the plot consists of illogical supernatural things happening and people dying in gory yet cinematic ways. To this end, very little is done to give the story or the characters any heart.

This movie does just that. It has an innocent story of three ghostbusters investigating a haunted house. The characters are, not only NOT obnoxious but downright likable. I could watch 90 minutes of this even if nothing spooky happened because they managed to keep my attention and were thoroughly well fleshed out.

It&apos;s not very scary, but it gives you the delicious little glee of watching one of those &apos;spooky phenomenon&apos; movies. Won&apos;t make you jump, but will make you wiggle your toes in your snuggie.

The ending was kind of rushed. I would have liked to know more about the dead room and what transpired all those years ago to put the spooks in that situation. 

Overall a very enjoyable watch.",7,"['Horror', 'Thriller']","['unhappy ending', 'evil wins', 'killer ghost', 'death of protagonist', 'cynical ending']",2016-04-08,['Jason Stutter'],"['Jed Brophy', 'Jeffrey Thomas', 'Laura Petersen']","['Kevin Stevens', 'Jason Stutter']"
Død snø,"A ski vacation turns horrific for a group of medical students, as they find themselves confronted by an unimaginable menace: Nazi zombies.","Norwegian Zombie terror film about some Nazis dead coming back to life on snowy lands . A ski vacation turns horrific for a group of medical students, as they find themselves confronted by an unimaginable menace: Nazi zombies. This low-budget terror motion picture deals with a group who run into a pack Nazis coming back to life and terrorizing an unnamed Norwegian area .This clever horror movie deals about an ever-dwindling group of hikers. They drink and party until a mysterious scout arrives. He tells them the dark history of the region; during WWII, a force of Einsatzgruppen led by the dreaded Standartenführer Herzog occupied the location . During three long years the Nazis abused and tortured the local people, and near the end of the war, with Germany&apos;s defeat looming, looted all their valuables before beginning to withdraw from the place . The villagers managed to stage an uprising and ambushed the Nazis, killing many. The surviving Nazis, including Herzog, were pursued into the valleys , and it was assumed that they all froze to death . Later on , the hikers are afflicted by stalking, vicious flesh-eating stiffs relieved .

Gory, gruesome , pretty repellent , and ghastly cannibal feast in which the stumbling flesh-eating stiffs are reanimated and can be only destroyed by bullets in the brain , slashing and throat-hacking . Unrelenting shock-feast laced with brief touches of black humor and tongue-in-cheek . Army of Zombies appearance roaming the countryside , booth and some people besieged inside a cottage deliver the goods , enough to be interesting .Main great success from Norway cinema is compelling directed with startling visual content and nice production by Tommy Wirkola ; furthermore special mention to excellent make-up by the magnificent Norwegian craftsmen . This frightening movie is plenty of thrills, chills, body-count executed by the eerie Nazi Zombies and photographed in pallid color with lurid images and phenomenal results . This is a classic excruciatingly Zombie film where the intrigue,tension, suspense appears threatening and lurking on the snowy outdoors , shack , mountains and many other places . In Norway considered the plus ultra of thoroughly disturbing movie is less stomach-churning by nowadays&apos;s standards . Død snø (original title) is a genuinely frightening story with correct utilization of images-shock and well photographed on location in Alta, Finnmark, Norway and Målselv, Troms. It contains a creepy and eerie musical score and appropriate cinematography . The director creates a special Zombie thriller that manages to be both scary and skilfully made, deserving its cult status . Rating: Good, this is one more imaginative horror pictures in which the camera stalks in sinister style and packing lots of blood and gore , but also some laughs . It&apos;s just one long unrelenting cannibal feast and average budget horror movie that still packs a punch for those who like to be terrorized out their wits. Other films dealing with Zombies Nazis are the following : ¨Shock Waves (1977)¨ by Ken Wiederhorn with Peter Cushing and Brooke Adams ; ¨Grave of the living dead (1983)¨ by Jesus Franco and ¨Horror of war (2006)¨ by John Whitney.",6,"['Comedy', 'Fantasy', 'Horror']","['zombie', 'nazi zombie', 'nazi', 'snowmobile', 'snow']",2009-01-09,['Tommy Wirkola'],"['Jeppe Beck Laursen', 'Charlotte Frogner', 'Jenny Skavlan']","['Tommy Wirkola', 'Stig Frode Henriksen']"
Død snø 2,"Still on the run from a group of Nazi zombies, a man seeks the aid of a group of American zombie enthusiasts, and discovers new techniques for fighting the zombies.","&apos;DEAD SNOW 2: RED VS. DEAD&apos;: Four and a Half Stars (Out of Five) Sequel to the 2009 Norwegian zombie horror-comedy flick; about a group of students attacked by Nazi zombies, in the Norwegian mountains. The sole survivor, of that film, is now trying to defend a Norwegian town; from annihilation, by the Nazi zombies. It was once again directed by Tommy Wirkola and written by Wirkola, Stig Frode Henriksen and Vegar Hoel. Hoel and Henriksen also once again star in the movie and this time they&apos;re joined by Martin Starr, Ingrid Haas, Jocelyn DeBoer, Hallvard Holmen, Kristoffer Joner, Amrita Acharia, Derek Mears and Orjan Garnst (reprising his role as Colonel Herzog). I loved the movie; it&apos;s so much fun! Picking up right where the first film left off; Martin (Hoel) is still on the run from the Nazi zombies, and he crashes his car in the mountains. He ends up in a hospital where a doctor replaces his amputated arm, that he sawed off in the first film (to stop a zombie infection), with the undead arm of Colonel Herzog (Garnst). He can&apos;t control the arm, at first, and it murders several people. He later learns that he has special zombie powers, thanks to his new zombie arm. He also learns that Herzog, and his army of undead Nazis, plan on destroying a town; as part of a 70-year-old assignment, given to them by Hitler. Martin finds help from a WWII museum employee, named Glenn (Henriksen), and three American siblings; calling themselves the &apos;Zombie Squad&apos;. They&apos;re lead by a nerd named Daniel (Starr). The movie is full of excessive and extremely grotesque zombie violence; it&apos;s definitely not a film for everyone, but it&apos;s also full of really funny light-hearted humor. The action scenes are so much fun and the characters are all likable and mostly relatable (in an exaggerated way). The additions of Star and Holmen, to the cast, are brilliant and there&apos;s a classic zombie sidekick character (Joner) as well. Hoel is also, once again, outstanding in the lead and Wirkola&apos;s directing is perfect. It&apos;s sure to become a cult classic, like the original, and its also highly reminiscent of &apos;EVIL DEAD II&apos;; which is a good thing (in my opinion).",9,"['Action', 'Comedy', 'Fantasy']","['zombie', 'soviet zombie', 'nazi zombie', 'zombie horror', 'sequel']",2014-10-07,['Tommy Wirkola'],"['Geir Vegar Hoel', 'Ørjan Gamst', 'Martin Starr']","['Tommy Wirkola', 'Geir Vegar Hoel', 'Stig Frode Henriksen']"
Deadlier Than the Male,British agent Bulldog Drummond is assigned to stop a master criminal who uses beautiful women to do his killings.,"This entry into the world of the 1960s spy genre is one of the best. Due to its witty screenplay, with some great dialogue, and its great visual direction, this film stands out above any of the Matt Helm series or other European films. The two female leads, Elke Sommer and Sylva Koscina are perfect, as are Nigel Green and Richard Johnson. I highly recommend this film is you are into fun adventure, told with tongue-in-cheek style.",9,"['Adventure', 'Crime', 'Drama']","['uncle nephew relationship', 'bare chested male bondage', 'boeing 707', 'cigar in garter', 'lighting a cigar']",1967-02-12,['Ralph Thomas'],"['Richard Johnson', 'Elke Sommer', 'Sylva Koscina']","['Jimmy Sangster', 'David D. Osborn', 'Liz Charles-Williams']"
Deadline,,,4,"['Drama', 'Horror', 'Thriller']","['writer', 'burying a dead body', 'falling from a staircase balcony', 'suicide', 'drowning']",2010-01-29,['Sean McConville'],"['Brittany Murphy', 'Thora Birch', 'Tammy Blanchard']",['Sean McConville']
The Deadly Bees,,,4,"['Drama', 'Horror', 'Mystery']","['woman in jeopardy', 'psychotronic film', 'brassiere', 'creature feature', 'actual animal killed']",1967-08-11,['Freddie Francis'],"['Suzanna Leigh', 'Frank Finlay', 'Guy Doleman']","['Robert Bloch', 'Anthony Marriott', 'Gerald Heard']"
Deadly Blessing,,,7,"['Horror', 'Thriller']","['tractor', 'incubus', 'spider in mouth', 'countryside', 'insect in mouth']",1981-08-14,['Wes Craven'],"['Maren Jensen', 'Sharon Stone', 'Susan Buckner']","['Glenn M. Benest', 'Matthew Barr', 'Wes Craven']"
The Deadly Spawn,,,6,"['Horror', 'Sci-Fi']","['kaiju', 'psychotronic film', 'midnight movie', 'bloody violence', 'grindhouse film']",1983-04-22,['Douglas McKeown'],"['Charles George Hildebrandt', 'Tom DeFranco', 'Richard Lee Porter']","['Douglas McKeown', 'Ted A. Bohus', 'John Dods']"
Deadly Weapons,,,2,"['Crime', 'Thriller']","['playing with own breasts', 'breasts hanging out', 'killed with large breasts', 'sexploitation', 'cult film']",,['Doris Wishman'],"['Chesty Morgan', 'Harry Reems', 'Richard Towers']",['Judy J. Kushner']
Death Becomes Her,"When a fading actress learns of an immortality treatment, she sees it as a way to outdo her long-time rival.","Maybe, one of the most provocative portraits of obsession about appearances and eternal life. inspired performances, Bruce Willis in a role so far by the well known performances, gags and humor and spiced irony , conflicts and magic. a fairy tale using familiar pieces. in smart manner. that is one of the reasons of freshness for this comedy about women and theirs...desires.",,"['Comedy', 'Fantasy', 'Horror']","['frenemy', 'betrayal', 'eternal life', 'rejuvenation', 'murder disguised as accident']",1992-07-31,['Robert Zemeckis'],"['Meryl Streep', 'Bruce Willis', 'Goldie Hawn']","['Martin Donovan', 'David Koepp']"
Death Bed: The Bed That Eats,A bed possessed by a demon spirit consumes its users alive.,"Death Bed: The Bed That Eats is without a doubt one of the weirdest horror films I have ever seen. It&apos;s not just the plot that astounds with its sheer surrealistic nuttiness, but also the execution: the avant-garde direction, the strange music, the kooky performances, the random editing, and the echoey voice-over from the spirit of an artist trapped behind a painting, all of which go to make this a real one-of-a-kind off-the-wall movie.

Told in four chapters - Breakfast, Lunch, Dinner, and Just Desserts - the film revolves around a bed that devours anyone and anything that comes in contact with it. The bed - created by a tree demon in the form of a breeze - came to life when the woman the demon wished to seduce suddenly died. Over the years the bed, which occupies an abandoned house, has claimed many victims, dissolving their bodies in the acid that sloshes around under its sheets. One of these victims was the aforementioned artist, who, imprisoned behind his own work of art for 70 years, bears witness to each and every death.

When three young women arrive at the house, the bed begins to feed again, starting with cutie Suzan (Julie Ritter, who gets nekkid before being eaten), followed by Diane (Demene Hall), who might have escaped if it hadn&apos;t been for those pesky prehensile bed sheets. The third girl, Sharon (Rosa Luxemburg), is spared, because her eyes remind the bed of the demon&apos;s dead maiden.

Crazy moments include the bed consuming an apple and regurgitating the core, Suzan dreaming of eating bugs, the bed devouring an orgy, and an eyeball rolling around the sheets, but for my money the most memorable scene is when Sharon&apos;s brother stupidly tries to stab the bed and finds himself wrist deep in acid, the bed dissolving the flesh, leaving him with skeletal hands that start to break apart as the cartilage wastes away.

With bonkers stuff like that, I happily recommend the film to fans of bizarre cinema, even if, truth be told, it isn&apos;t really all that good.",5,['Horror'],"['demon', 'bed', 'animate object', 'female nudity', 'supernatural power']",,['George Barry'],"['Demene Hall', 'William Russ', 'Julie Ritter']",['George Barry']
Death of a Snowman,,,6,"['Action', 'Crime']","['exploitation', 'blaxploitation film', 'grindhouse film', 'reporter', 'johannesburg south africa']",,['Christopher Rowley'],"['Nigel Davenport', 'Ken Gampu', 'Peter Dyneley']",['Bima Stagg']
La mort de Louis XIV,,,7,"['Biography', 'Drama', 'History']","['reference to moliere', 'pain', 'king', 'king louis xiv', 'french history']",2016-11-02,['Albert Serra'],"['Jean-Pierre Léaud', 'Patrick d&apos;Assumçao', 'Marc Susini']","['Thierry Lounas', 'Albert Serra']"
Death Race 2000,,,8,"['Action', 'Comedy', 'Sci-Fi']","['tyranny', 'dystopia', 'road racing', 'car racing', 'carsploitation']",1975-11-28,['Paul Bartel'],"['David Carradine', 'Sylvester Stallone', 'Simone Griffeth']","['Robert Thom', 'Charles B. Griffith', 'Ib Melchior']"
